EQUIPO,PG,PP,PE,TA,TR,SA,G,PR,GPP,GE
ATHLETIC CLUB,8,3,5,32,3,0,24,3,0,15
ATLÉTICO DE MADRID,9,1,5,29,1,0,26,1,0,8
CA OSASUNA,6,4,5,36,0,0,20,4,0,23
CD LEGANÉS,3,6,6,33,0,0,14,2,0,20
DEPORTIVO ALAVÉS,4,9,2,40,2,0,16,3,0,25
FC BARCELONA,12,3,1,29,2,0,48,4,0,17
GETAFE CF,2,6,7,41,1,0,10,4,0,13
GIRONA FC,6,5,4,36,1,0,22,3,0,20
RC CELTA,5,7,3,32,3,0,23,3,0,27
RCD ESPANYOL DE BARCELONA,4,9,1,37,0,0,15,1,0,27
RCD MALLORCA,7,5,3,33,3,0,16,1,0,18
RAYO VALLECANO,4,6,4,34,2,0,14,0,0,16
REAL BETIS,5,5,5,32,1,0,16,2,0,18
REAL MADRID,10,1,3,24,1,0,31,7,0,13
REAL SOCIEDAD,6,6,3,33,1,0,13,2,0,11
REAL VALLADOLID CF,2,10,3,45,1,0,10,3,0,32
SEVILLA FC,5,6,4,32,5,0,14,1,0,19
UD LAS PALMAS,4,8,3,41,0,0,20,1,0,26
VALENCIA CF,2,7,4,32,1,0,13,2,0,21
VILLARREAL CF,7,2,5,39,1,0,27,4,0,23
