EQUIPO,BLOQ,INTER,R,D,EE,EF,JUH,DE,DF,DAE,DAF
ATHLETIC CLUB,31,147,809,319,136,93,0,730,856,199,214
ATLÉTICO DE MADRID,32,103,715,272,136,84,0,644,672,186,181
CA OSASUNA,45,120,711,366,150,108,0,753,754,249,208
CD LEGANÉS,60,144,731,453,170,105,0,779,778,206,259
DEPORTIVO ALAVÉS,34,125,662,267,162,97,0,737,846,230,269
FC BARCELONA,35,95,751,240,139,87,0,743,654,143,137
GETAFE CF,23,100,649,303,151,104,0,916,963,346,322
GIRONA FC,41,105,672,242,150,93,0,669,656,126,128
RC CELTA,45,111,722,277,135,80,0,651,663,150,150
RCD ESPANYOL DE BARCELONA,58,114,635,373,170,90,0,646,643,162,170
RCD MALLORCA,55,156,745,380,158,102,0,829,770,288,248
RAYO VALLECANO,45,127,716,311,155,82,0,670,741,178,208
REAL BETIS,43,146,777,303,161,90,0,756,758,183,188
REAL MADRID,46,129,712,212,144,87,0,748,589,132,105
REAL SOCIEDAD,49,98,717,306,182,95,0,764,784,218,245
REAL VALLADOLID CF,64,133,620,322,145,94,0,778,738,257,231
SEVILLA FC,38,132,690,304,151,91,0,780,748,229,199
UD LAS PALMAS,59,136,713,343,154,95,0,707,709,188,201
VALENCIA CF,31,90,620,244,154,82,0,604,646,155,200
VILLARREAL CF,49,103,659,270,143,74,0,666,602,185,147
