EQUIPO,TA,TR,SA,FDJ,FR,FC,PR,PCOM,FPM,FPT
ATHLETIC CLUB,32,3,0,32,168,211,3,3,9,6.59
ATLÉTICO DE MADRID,29,1,0,26,145,167,1,1,10,5.76
CA OSASUNA,36,0,0,28,140,206,4,1,10,5.72
CD LEGANÉS,33,0,0,35,190,199,2,2,7,6.03
DEPORTIVO ALAVÉS,40,2,0,33,185,241,3,6,14,6.03
FC BARCELONA,29,2,0,32,210,143,4,2,7,4.93
GETAFE CF,41,1,0,43,210,260,4,2,15,6.34
GIRONA FC,36,1,0,34,173,173,3,2,6,4.81
RC CELTA,32,3,0,31,190,165,3,1,5,5.16
RCD ESPANYOL DE BARCELONA,37,0,0,19,161,195,1,3,16,5.27
RCD MALLORCA,33,3,0,35,184,191,1,3,15,5.79
RAYO VALLECANO,34,2,0,35,155,197,0,0,6,5.79
REAL BETIS,32,1,0,27,197,178,2,3,9,5.56
REAL MADRID,24,1,0,34,216,143,7,0,7,5.96
REAL SOCIEDAD,33,1,0,38,168,205,2,4,9,6.21
REAL VALLADOLID CF,45,1,0,29,188,201,3,1,11,4.47
SEVILLA FC,32,5,0,33,172,182,1,4,10,5.69
UD LAS PALMAS,41,0,0,17,177,180,1,6,10,4.39
VALENCIA CF,32,1,0,33,147,155,2,3,10,4.84
VILLARREAL CF,39,1,0,39,172,164,4,4,9,4.21
